"Date","Price","Open","High","Low","Vol","Change"
"12/22/2023","2,324.16","2,240.01","2,341.50","2,232.81","591.31K","3.78%"
"12/21/2023","2,239.61","2,201.71","2,277.70","2,183.30","453.16K","1.70%"
"12/20/2023","2,202.17","2,178.15","2,263.12","2,161.70","416.84K","1.14%"
"12/19/2023","2,177.40","2,218.95","2,254.71","2,137.85","383.69K","-1.87%"
"12/18/2023","2,218.81","2,197.75","2,223.29","2,123.09","365.00K","0.99%"
"12/17/2023","2,197.01","2,228.84","2,247.82","2,196.01","224.96K","-1.44%"
"12/16/2023","2,229.03","2,222.18","2,262.66","2,212.78","199.29K","0.39%"
"12/15/2023","2,220.40","2,315.20","2,317.35","2,213.17","333.57K","-4.10%"
"12/14/2023","2,315.31","2,261.96","2,331.61","2,237.04","409.52K","2.44%"
"12/13/2023","2,260.15","2,204.09","2,283.90","2,148.74","418.94K","2.57%"
"12/12/2023","2,203.47","2,224.46","2,243.31","2,168.17","361.62K","-0.98%"
"12/11/2023","2,225.31","2,351.73","2,354.99","2,164.26","640.37K","-5.40%"
"12/10/2023","2,352.22","2,340.83","2,376.56","2,324.13","200.04K","0.50%"
"12/09/2023","2,340.51","2,359.07","2,401.31","2,332.35","287.81K","-0.76%"
"12/08/2023","2,358.41","2,357.49","2,389.45","2,340.81","378.59K","0.11%"
"12/07/2023","2,355.74","2,232.92","2,381.72","2,224.38","485.19K","5.48%"
"12/06/2023","2,233.40","2,294.20","2,310.19","2,223.19","408.46K","-2.61%"
"12/05/2023","2,293.32","2,243.37","2,302.46","2,191.02","529.83K","2.22%"
"12/04/2023","2,243.62","2,193.58","2,272.47","2,191.42","565.29K","2.32%"
"12/03/2023","2,192.83","2,165.90","2,215.63","2,150.64","257.85K","1.29%"
"12/02/2023","2,164.81","2,087.78","2,179.73","2,086.25","320.98K","3.72%"
"12/01/2023","2,087.23","2,053.20","2,109.42","2,045.40","372.88K","1.74%"
"11/30/2023","2,051.57","2,028.29","2,054.33","2,021.44","243.66K","1.11%"
"11/29/2023","2,028.98","2,048.12","2,071.50","2,020.28","254.93K","-0.96%"
"11/28/2023","2,048.66","2,027.70","2,074.99","1,996.11","283.69K","1.05%"
"11/27/2023","2,027.43","2,061.92","2,071.16","1,987.41","326.11K","-1.69%"
"11/26/2023","2,062.33","2,082.42","2,093.99","2,038.21","241.26K","-1.00%"
"11/25/2023","2,083.09","2,080.98","2,090.27","2,065.52","138.85K","0.11%"
"11/24/2023","2,080.83","2,062.20","2,130.03","2,059.38","426.94K","0.91%"
"11/23/2023","2,062.10","2,063.49","2,088.45","2,040.87","251.11K","-0.06%"
"11/22/2023","2,063.28","1,930.55","2,090.09","1,930.55","466.37K","6.65%"
"11/21/2023","1,934.61","2,021.06","2,034.51","1,932.21","489.92K","-4.30%"
"11/20/2023","2,021.48","2,012.79","2,064.00","1,994.88","421.81K","0.52%"
"11/19/2023","2,010.99","1,962.21","2,014.92","1,943.59","251.19K","2.51%"
"11/18/2023","1,961.68","1,960.82","1,971.03","1,920.10","279.32K","0.05%"
"11/17/2023","1,960.78","1,961.41","1,990.23","1,908.28","401.14K","-0.05%"
"11/16/2023","1,961.77","2,058.50","2,089.40","1,940.32","545.34K","-4.72%"
"11/15/2023","2,058.96","1,980.00","2,060.93","1,967.94","421.86K","4.02%"
"11/14/2023","1,979.40","2,055.67","2,064.53","1,943.24","481.92K","-3.64%"
"11/13/2023","2,054.15","2,045.17","2,114.90","2,030.77","529.07K","0.46%"
"11/12/2023","2,044.68","2,052.38","2,065.61","2,021.06","281.91K","-0.43%"
"11/11/2023","2,053.45","2,077.73","2,089.29","2,033.65","370.97K","-1.17%"
"11/10/2023","2,077.82","2,120.98","2,135.99","2,068.89","556.90K","-1.99%"
"11/09/2023","2,120.11","1,888.42","2,131.35","1,882.91","1.10M","12.21%"
"11/08/2023","1,889.35","1,885.28","1,903.63","1,873.38","247.64K","0.18%"
"11/07/2023","1,885.92","1,901.47","1,906.46","1,852.01","332.51K","-0.79%"
"11/06/2023","1,901.01","1,891.69","1,913.13","1,869.94","328.71K","0.46%"
"11/05/2023","1,892.29","1,856.11","1,911.00","1,846.53","383.08K","1.97%"
"11/04/2023","1,855.67","1,832.69","1,868.33","1,824.37","171.54K","1.28%"
