source,price_date,price,open,high,low,close
BINANCE,20240213,2640.02,2661.81,2686.12,2597.06,NULL
BINANCE,20240214,2775.12,2640.00,2785.50,2619.76,NULL
BINANCE,20240215,2822.59,2774.51,2864.68,2760.99,NULL
BINANCE,20240216,2801.80,2823.25,2857.01,2759.59,NULL
BINANCE,20240217,2785.92,2802.41,2804.20,2721.19,NULL
BINANCE,20240218,2880.29,2786.42,2892.81,2765.95,NULL
BINANCE,20240219,2944.99,2882.01,2983.95,2859.99,NULL
BINANCE,20240220,3015.58,2944.98,3030.91,2880.02,NULL
BINANCE,20240221,2971.31,3015.73,3016.96,2871.94,NULL
BINANCE,20240222,2972.55,2968.58,3031.85,2907.22,NULL
BINANCE,20240223,2922.24,2971.99,2992.83,2906.41,NULL
BINANCE,20240224,2992.27,2923.79,3006.00,2907.22,NULL
BINANCE,20240225,3112.60,2992.66,3117.97,2984.24,NULL
BINANCE,20240226,3176.05,3114.35,3194.20,3038.08,NULL
BINANCE,20240227,3242.22,3177.19,3285.72,3166.00,NULL
BINANCE,20240228,3383.06,3242.54,3482.96,3183.07,NULL
BINANCE,20240229,3339.21,3383.20,3520.87,3300.32,NULL
BINANCE,20240301,3433.54,3342.62,3449.64,3339.80,NULL
BINANCE,20240302,3420.67,3433.89,3460.03,3395.03,NULL
BINANCE,20240303,3488.68,3420.54,3491.57,3364.37,NULL
BINANCE,20240304,3626.60,3487.97,3638.59,3445.56,NULL
BINANCE,20240305,3555.91,3626.55,3820.49,3235.32,NULL
BINANCE,20240306,3814.40,3557.20,3899.99,3503.46,NULL
BINANCE,20240307,3869.87,3820.12,3933.05,3736.25,NULL
BINANCE,20240308,3883.29,3868.88,3991.96,3825.15,NULL
BINANCE,20240309,3905.21,3883.87,3941.53,3872.94,NULL
BINANCE,20240310,3878.46,3908.91,3962.01,3793.70,NULL
BINANCE,20240311,4065.25,3878.39,4082.00,3755.60,NULL
BINANCE,20240312,3979.94,4065.39,4091.67,3844.53,NULL
BINANCE,20240313,4004.35,3982.49,4078.63,3936.02,NULL
BINANCE,20240314,3881.70,4005.79,4009.95,3729.43,NULL
BINANCE,20240315,3741.19,3885.84,3931.39,3591.16,NULL
BINANCE,20240316,3523.70,3742.55,3778.62,3476.98,NULL
BINANCE,20240317,3644.70,3533.44,3678.10,3421.54,NULL
BINANCE,20240318,3520.33,3640.38,3641.65,3454.80,NULL
BINANCE,20240319,3165.05,3518.66,3546.25,3151.22,NULL
BINANCE,20240320,3514.66,3156.74,3531.19,3063.51,NULL
BINANCE,20240321,3492.84,3517.79,3582.90,3413.53,NULL
BINANCE,20240322,3334.13,3497.49,3541.59,3254.49,NULL
BINANCE,20240323,3332.90,3333.48,3430.00,3275.81,NULL
BINANCE,20240324,3455.34,3328.55,3469.60,3300.71,NULL
BINANCE,20240325,3590.81,3456.73,3651.20,3421.07,NULL
BINANCE,20240326,3587.49,3592.52,3677.31,3544.39,NULL
BINANCE,20240327,3500.41,3587.95,3661.83,3462.43,NULL
BINANCE,20240328,3559.40,3500.51,3609.71,3470.60,NULL
BINANCE,20240329,3509.73,3560.61,3583.15,3475.00,NULL
BINANCE,20240330,3506.80,3511.54,3564.01,3487.64,NULL
BINANCE,20240331,3647.07,3505.38,3652.88,3505.09,NULL
CHAINLINK,20240101,2306.56,2280.06,2350.60,2272.24,2350.60
CHAINLINK,20240102,2381.17,2350.60,2430.01,2350.60,2358.45
CHAINLINK,20240103,2255.70,2358.45,2380.45,2122.26,2211.18
CHAINLINK,20240104,2252.27,2211.18,2291.40,2207.39,2272.44
CHAINLINK,20240105,2246.64,2272.44,2277.57,2219.28,2267.67
CHAINLINK,20240106,2242.71,2267.67,2267.67,2222.11,2240.32
CHAINLINK,20240107,2240.03,2240.32,2254.03,2214.70,2221.53
CHAINLINK,20240108,2257.16,2221.53,2357.56,2181.33,2332.87
CHAINLINK,20240109,2298.92,2332.87,2367.57,2247.61,2341.65
CHAINLINK,20240110,2436.88,2341.65,2621.12,2341.65,2584.99
CHAINLINK,20240111,2614.47,2584.99,2682.11,2570.19,2620.65
CHAINLINK,20240112,2602.46,2620.65,2715.03,2463.29,2526.12
CHAINLINK,20240113,2550.19,2526.12,2583.50,2509.20,2576.10
CHAINLINK,20240114,2525.49,2576.10,2576.10,2469.41,2474.33
CHAINLINK,20240115,2517.29,2474.33,2548.27,2474.33,2514.58
CHAINLINK,20240116,2544.91,2514.58,2611.86,2506.69,2589.05
CHAINLINK,20240117,2549.15,2589.05,2589.05,2512.06,2528.08
CHAINLINK,20240118,2498.75,2528.08,2539.93,2435.68,2467.21
CHAINLINK,20240119,2467.13,2467.21,2499.30,2414.74,2489.55
CHAINLINK,20240120,2471.60,2489.55,2489.55,2456.00,2467.93
CHAINLINK,20240121,2470.81,2467.93,2478.46,2452.79,2452.79
CHAINLINK,20240122,2376.39,2452.79,2459.56,2303.53,2308.61
CHAINLINK,20240123,2238.75,2308.61,2348.51,2168.98,2243.07
CHAINLINK,20240124,2228.45,2243.07,2260.87,2201.26,2235.86
CHAINLINK,20240125,2213.68,2235.86,2237.95,2176.83,2218.22
CHAINLINK,20240126,2238.38,2218.22,2279.55,2195.94,2269.01
CHAINLINK,20240127,2267.33,2269.01,2279.14,2256.76,2267.43
CHAINLINK,20240128,2274.62,2267.43,2300.10,2247.10,2257.30
CHAINLINK,20240129,2276.98,2257.30,2319.11,2238.34,2315.15
CHAINLINK,20240130,2334.85,2315.15,2390.10,2300.91,2345.59
CHAINLINK,20240131,2316.20,2345.59,2345.59,2270.85,2283.14
CHAINLINK,20240201,2280.40,2283.14,2305.90,2246.50,2302.92
CHAINLINK,20240202,2304.37,2302.92,2316.76,2289.31,2307.34
CHAINLINK,20240203,2309.36,2307.34,2327.35,2295.22,2295.22
CHAINLINK,20240204,2296.42,2295.22,2307.61,2278.84,2288.70
CHAINLINK,20240205,2302.53,2288.70,2328.21,2279.55,2298.91
CHAINLINK,20240206,2338.85,2298.91,2390.01,2298.91,2372.68
CHAINLINK,20240207,2383.32,2372.68,2438.35,2355.75,2424.36
CHAINLINK,20240208,2428.55,2424.36,2451.60,2420.10,2420.10
CHAINLINK,20240209,2477.01,2420.10,2518.67,2420.10,2486.96
CHAINLINK,20240210,2496.25,2486.96,2512.57,2476.89,2500.94
CHAINLINK,20240211,2514.39,2500.94,2530.32,2495.61,2507.30
CHAINLINK,20240212,2555.56,2507.30,2664.19,2476.01,2659.53
CHAINLINK,20240213,2642.15,2659.53,2683.26,2600.98,2643.65
CHAINLINK,20240214,2715.64,2643.65,2784.27,2622.62,2777.96
CHAINLINK,20240215,2809.84,2777.96,2855.17,2766.11,2823.43
CHAINLINK,20240216,2810.92,2823.43,2858.42,2758.99,2803.79
CHAINLINK,20240217,2775.52,2803.79,2803.79,2727.90,2787.72
CHAINLINK,20240218,2814.37,2787.72,2882.22,2768.89,2874.75
CHAINLINK,20240219,2917.34,2874.75,2978.81,2867.85,2941.62
CHAINLINK,20240220,2940.40,2941.62,3032.06,2882.80,3014.49
CHAINLINK,20240221,2932.82,3014.49,3014.50,2883.22,2974.59
CHAINLINK,20240222,2970.28,2974.59,3029.66,2909.91,2969.27
CHAINLINK,20240223,2943.30,2969.27,2990.63,2907.72,2926.32
CHAINLINK,20240224,2958.58,2926.32,2995.10,2910.50,2990.20
CHAINLINK,20240225,3048.77,2990.20,3115.91,2990.20,3111.97
CHAINLINK,20240226,3115.03,3111.97,3195.81,3039.61,3178.68
CHAINLINK,20240227,3239.13,3178.68,3287.06,3168.71,3243.66
CHAINLINK,20240228,3323.66,3243.66,3483.33,3226.92,3381.00
CHAINLINK,20240229,3417.96,3381.00,3516.19,3310.88,3350.26
CHAINLINK,20240301,3403.65,3350.26,3447.94,3350.26,3436.37
CHAINLINK,20240302,3425.51,3436.37,3456.62,3404.48,3421.20
CHAINLINK,20240303,3432.55,3421.20,3489.13,3374.67,3489.13
CHAINLINK,20240304,3531.27,3489.13,3643.63,3449.80,3630.15
CHAINLINK,20240305,3588.48,3630.15,3817.90,3253.45,3560.64
CHAINLINK,20240306,3765.96,3560.64,3893.44,3514.60,3828.21
CHAINLINK,20240307,3825.53,3828.21,3926.01,3750.32,3871.60
CHAINLINK,20240308,3926.18,3871.60,3987.50,3839.15,3894.57
CHAINLINK,20240309,3917.14,3894.57,3946.02,3888.53,3915.16
CHAINLINK,20240310,3893.29,3915.16,3956.43,3765.41,3865.39
CHAINLINK,20240311,3976.56,3886.82,4088.76,3765.41,4031.20
CHAINLINK,20240312,3979.71,4068.00,4088.76,3833.65,4040.78
CHAINLINK,20240313,4009.52,3977.35,4069.42,3951.19,3994.45
CHAINLINK,20240314,3859.61,4013.36,4013.36,3635.49,3727.85
CHAINLINK,20240315,3704.36,3881.87,3924.24,3595.44,3736.18
CHAINLINK,20240316,3621.15,3741.36,3763.41,3487.31,3571.09
CHAINLINK,20240317,3560.48,3521.77,3665.63,3417.87,3600.89
CHAINLINK,20240318,3537.15,3649.54,3649.54,3372.23,3432.33
CHAINLINK,20240319,3292.13,3523.41,3541.39,3150.04,3163.25
